feature,importance
basket_size_trend,2332
purchase_velocity,2299
avg_days_between_orders,2246
order_frequency_trend,2214
std_days_between_orders,2114
recency_acceleration,2078
days_since_last_order,2075
basket_size_cv,1652
exploration_rate,1560
order_regularity,1548
reorder_consistency_std,1485
avg_reorder_rate_per_order,1167
std_order_hour,1149
avg_order_hour,1065
std_order_dow,1047
avg_order_dow,1030
loyalty_index,1010
basket_size_std,974
customer_age_days,972
overall_reorder_rate,944
weekend_x_hour,907
avg_basket_size,880
product_diversity_score,867
reorder_rate_std,835
afternoon_order_ratio,822
unique_products,821
basket_x_frequency,807
morning_order_ratio,757
reorder_x_diversity,734
total_reordered_items,688
weekend_order_ratio,617
unique_aisles,606
unique_departments,507
total_items_ordered,482
preferred_hour,464
total_orders,460
night_order_ratio,455
clv_proxy,433
avg_unique_products_per_order,374
orders_per_day,309
preferred_dow,302
favorite_products_count,286
total_unique_products_ordered,189
avg_products_per_order,140
rfm_total_score,134
recency_x_frequency,101
engagement_score,96
at_risk_score,33
recency_squared,12
age_x_orders,1
frequency_log,1
days_since_first_order,0
