iter	Passed	Remaining
0	393	393053
1	554	276803
2	603	200612
3	650	162073
4	692	137888
5	739	122446
6	780	110786
7	833	103339
8	916	100924
9	991	98111
10	1041	93596
11	1085	89364
12	1136	86285
13	1178	82970
14	1221	80229
15	1267	77939
16	1317	76197
17	1392	75944
18	1443	74528
19	1489	72978
20	1530	71371
21	1573	69929
22	1613	68521
23	1657	67416
24	1695	66120
25	1743	65318
26	1802	64971
27	1866	64787
28	1932	64702
29	1996	64560
30	2046	63960
31	2095	63399
32	2143	62824
33	2192	62289
34	2242	61822
35	2287	61251
36	2324	60501
37	2367	59930
38	2404	59243
39	2450	58808
40	2493	58315
41	2535	57830
42	2576	57349
43	2620	56933
44	2662	56514
45	2704	56082
46	2740	55577
47	2786	55266
48	2826	54852
49	2867	54486
50	2908	54127
51	2946	53725
52	2987	53376
53	3027	53045
54	3077	52879
55	3127	52725
56	3167	52404
57	3212	52174
58	3252	51879
59	3294	51612
60	3337	51373
61	3379	51129
62	3418	50840
63	3466	50690
64	3513	50533
65	3557	50338
66	3597	50093
67	3654	50085
68	3724	50247
69	3875	51491
70	3930	51432
71	3971	51182
72	4011	50942
73	4062	50840
74	4104	50618
75	4148	50440
76	4192	50261
77	4238	50103
78	4284	49947
79	4336	49869
80	4382	49717
81	4426	49560
82	4474	49432
83	4520	49291
84	4557	49059
85	4598	48872
86	4642	48720
87	4686	48568
88	4737	48491
89	4778	48311
90	4822	48173
91	4861	47984
92	4905	47837
93	4947	47685
94	4995	47585
95	5037	47433
96	5078	47272
97	5123	47160
98	5178	47130
99	5223	47009
100	5269	46900
101	5313	46779
102	5354	46635
103	5395	46482
104	5438	46359
105	5482	46242
106	5538	46222
107	5598	46240
108	5640	46110
109	5685	46000
110	5736	45947
111	5791	45920
112	5841	45852
113	5894	45812
114	5950	45791
115	6008	45787
116	6052	45677
117	6095	45564
118	6138	45445
119	6184	45352
120	6228	45244
121	6270	45125
122	6321	45071
123	6381	45080
124	6424	44974
125	6466	44853
126	6515	44789
127	6570	44764
128	6624	44727
129	6673	44662
130	6730	44650
131	6785	44618
132	6849	44647
133	6907	44638
134	6952	44545
135	6998	44461
136	7040	44352
137	7083	44245
138	7131	44174
139	7176	44082
140	7224	44014
141	7275	43960
142	7320	43873
143	7389	43925
144	7439	43865
145	7491	43821
146	7539	43747
147	7588	43683
148	7654	43719
149	7705	43666
150	7747	43558
151	7791	43469
152	7830	43351
153	7874	43260
154	7917	43161
155	7966	43103
156	8015	43038
157	8071	43016
158	8115	42924
159	8158	42831
160	8207	42770
161	8252	42689
162	8302	42634
163	8351	42571
164	8401	42514
165	8442	42414
166	8490	42352
167	8538	42284
168	8591	42246
169	8641	42193
170	8689	42127
171	8743	42090
172	8792	42032
173	8845	41989
174	8894	41930
175	8950	41905
176	9001	41855
177	9058	41833
178	9109	41780
179	9168	41769
180	9225	41742
181	9285	41734
182	9342	41710
183	9395	41665
184	9445	41611
185	9499	41571
186	9547	41506
187	9586	41405
188	9628	41314
189	9671	41229
190	9723	41184
191	9792	41210
192	9854	41204
193	9907	41160
194	9961	41122
195	10009	41059
196	10056	40990
197	10101	40917
198	10171	40942
199	10232	40928
200	10293	40915
201	10341	40854
202	10389	40790
203	10432	40707
204	10476	40628
205	10534	40604
206	10590	40571
207	10645	40536
208	10704	40514
209	10762	40485
210	10834	40515
211	10891	40484
212	10967	40523
213	11044	40566
214	11112	40575
215	11186	40603
216	11254	40609
217	11303	40547
218	11429	40760
219	11484	40717
220	11539	40674
221	11603	40662
222	11679	40693
223	11730	40637
224	11780	40576
225	11832	40524
226	11893	40499
227	11951	40467
